,评论,分类
5355,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5356,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5357,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5358,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5359,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5360,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5361,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5362,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5363,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5364,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5365,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5366,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5367,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5368,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5369,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5370,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5371,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5372,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5373,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5374,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5375,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5376,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5377,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5378,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5379,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5380,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5381,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5382,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5383,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5384,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5385,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5386,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5387,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5388,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5389,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5390,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5391,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5392,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5393,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5394,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5395,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5396,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5397,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5398,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5399,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5400,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5401,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5402,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5403,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5404,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5405,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5406,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5407,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5408,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5409,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5410,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5411,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5412,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5413,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5414,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5415,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5416,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5417,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5418,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5419,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5420,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5421,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5422,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5423,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5424,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5425,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5426,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5427,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5428,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5429,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5430,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5431,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5432,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5433,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5434,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5435,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5436,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5437,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5438,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5439,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5440,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5441,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5442,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5443,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5444,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5445,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5446,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5447,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5448,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5449,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5450,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5451,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5452,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5453,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5454,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5455,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5456,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5457,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5458,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5459,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5460,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5461,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5462,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5463,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5464,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5465,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5466,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5467,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5468,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5469,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5470,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5471,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5472,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5473,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5474,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5475,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5476,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5477,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5478,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5479,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5480,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5481,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5482,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5483,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5484,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5485,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5486,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5487,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5488,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5489,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5490,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5491,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5492,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5493,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5494,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5495,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5496,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5497,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5498,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5499,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5500,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5501,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5502,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5503,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5504,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5505,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5506,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5507,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5508,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5509,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5510,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5511,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5512,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5513,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5514,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5515,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5516,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5517,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5518,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5519,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5520,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5521,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5522,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5523,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5524,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5525,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5526,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5527,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5528,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5529,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5530,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5531,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5532,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5533,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5534,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5535,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5536,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5537,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5538,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5539,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5540,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5541,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5542,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5543,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5544,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5545,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5546,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5547,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5548,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5549,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5550,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5551,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5552,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5553,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5554,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
5555,颜色很好看，太精致了,颜色分类:M122绛仙绣（红棕焦糖）
5556,包装超级好看，买来送闺蜜的的礼物，很拿的出手哦，闺蜜喜欢很久了，高考完就买来送给她，哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5557,买了送母亲的，第一次感觉国货也非常的优秀，雕花工艺一直关注着，感觉花西子这个拼品牌以后一定可以走向国际的,颜色分类:杜鹃·惊鸿-M126（复古绛红色）
5558,真的超级好看，本来打算送人的那，决定这个自己用再给她买一个哈哈哈,颜色分类:M116彤心绣（烂番茄色）
5559,总体来说还不错，包装也用心,颜色分类:M122绛仙绣（红棕焦糖）
5560,颜值绝了   给闺蜜当生日礼物,颜色分类:M119湘妃绣（胡萝卜色）
5561,好看，上妆很自然，雕花边很喜欢，拍照也美美哒支持，好评哦！,颜色分类:M124知音绣（栗子红棕）
5562,挺好看的，很实用，包装精美，还有小赠品,颜色分类:M407玉棠绣（微糖豆沙）
5563,非常用心的一件产品，很满意。,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5564,买给同学当生日礼物的，她说包装不错，还送了个小卡片，好喜欢口红上面的雕文,颜色分类:M116彤心绣（烂番茄色）
5565,涂了一点点就很红，小试一下，不错,颜色分类:M116彤心绣（烂番茄色）
5566,好看 很实惠 送给婆婆的 很喜欢 满意,颜色分类:鼠年知音礼盒（M124知音绣+M123伯牙绣+M408子期绣）
5567,口红的颜色是我喜欢颜色； 由于我嘴唇平时比较干，这款口红的质地我也超喜欢，很丝滑； 有轻微掉色但留色度很好。 🌸冬青服务很棒🌸,颜色分类:M122绛仙绣（红棕焦糖）
5568,送朋友的。颜色巨好看,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5569,这个颜色是第二支了！其他颜色也没有少买！忠粉一枚！,颜色分类:M116彤心绣（烂番茄色）
5570,颜色超级温柔，上嘴没有干涩感，真是爱了爱了,颜色分类:【剑网3比翼相思联名】 M122 相思绣
5571,口红真的很好，而且服务态度很好，甚至发短信告知我如何储存，女朋友很喜欢,颜色分类:杜鹃·兰心-M409（半醺豆沙色）
5572,服务太太太太贴心了，内附冰袋防融化，包装真的上档次，价格非常适合学生党。物流也超级超级超级快！爱了爱了！,颜色分类:M116彤心绣（烂番茄色）
5573,感觉还挺不错以后会经常买颜色也喜欢送给对象不错的礼物,颜色分类:M116彤心绣（烂番茄色）
5574,送给闺蜜的生日礼物，特别喜欢特别好看，商家也特别细心，用冰袋降温口红！,颜色分类:M122绛仙绣（红棕焦糖）
